title,description,price,category,img
Soy Sauce,Dark soy sauce bottle 16oz,3.59,Condiments,images/soy_sauce.jpg
Ketchup,Tomato ketchup bottle 20oz,2.99,Condiments,images/ketchup.jpg
Mayonnaise,Creamy mayonnaise jar 15oz,3.49,Condiments,images/mayonnaise.jpg
Mustard,Dijon mustard jar 8oz,2.79,Condiments,images/mustard.jpg
Salted Pretzels,Pretzel snacks bag 8oz,2.99,Snacks,images/pretzels.jpg
Potato Chips,Classic salted potato chips bag 10oz,3.49,Snacks,images/potato_chips.jpg
Granola Bars,Assorted granola bars pack of 6,5.29,Snacks,images/granola_bars.jpg
Almonds,Raw whole almonds 8oz,6.99,Nuts,images/almonds.jpg
Cashews,Roasted cashews 8oz,7.49,Nuts,images/cashews.jpg
Walnuts,Chopped walnuts 8oz,6.79,Nuts,images/walnuts.jpg
Pine Nuts,Pine nuts 4oz pack,8.99,Nuts,images/pine_nuts.jpg
Rice Cakes,Light salted rice cakes pack,3.29,Snacks,images/rice_cakes.jpg
Maple Syrup,Pure maple syrup bottle 12oz,9.99,Sweets,images/maple_syrup.jpg
Brown Sugar,Raw brown sugar 2lb bag,3.49,Baking,images/brown_sugar.jpg
Flour,All purpose flour 5lb bag,4.29,Baking,images/flour.jpg
Baking Powder,Baking powder canister 8oz,1.99,Baking,images/baking_powder.jpg
Vanilla Extract,Pure vanilla extract bottle 2oz,5.99,Baking,images/vanilla_extract.jpg
Cinnamon Ground,Ground cinnamon jar 2oz,2.79,Spices,images/cinnamon.jpg
Black Pepper,Whole black peppercorns 3oz,3.29,Spices,images/black_pepper.jpg
Chili Powder,Spicy chili powder jar 2oz,2.99,Spices,images/chili_powder.jpg
Paprika,Smoked paprika jar 2oz,3.49,Spices,images/paprika.jpg
Basil,Dried basil herb jar 1oz,2.19,Spices,images/basil.jpg
Oregano,Dried oregano herb jar 1oz,2.19,Spices,images/oregano.jpg
Parsley,Fresh parsley bunch,1.49,Herbs,images/parsley.jpg
Cilantro,Fresh cilantro bunch,1.49,Herbs,images/cilantro.jpg
Mint,Fresh mint bunch,1.59,Herbs,images/mint.jpg
Rosemary,Fresh rosemary sprigs,2.29,Herbs,images/rosemary.jpg
Thyme,Fresh thyme sprigs,2.29,Herbs,images/thyme.jpg
Bagels,Plain bagels pack of 6,4.29,Bakery,images/bagels.jpg
Croissants,Butter croissants pack of 4,5.99,Bakery,images/croissants.jpg
Donuts,Glazed donuts pack of 6,4.59,Bakery,images/donuts.jpg
Coffee Beans,Whole bean coffee 12oz,8.99,Beverages,images/coffee_beans.jpg
Tea Bags,Assorted herbal tea bags pack,4.79,Beverages,images/tea_bags.jpg
Sparkling Water,Lemon flavored sparkling water 1L,1.99,Beverages,images/sparkling_water.jpg
Canned Corn,Canned sweet corn 15oz,1.29,Canned Goods,images/canned_corn.jpg
Canned Peas,Canned green peas 15oz,1.29,Canned Goods,images/canned_peas.jpg
Tomato Paste,Canned tomato paste 6oz,0.99,Canned Goods,images/tomato_paste.jpg
Chicken Stock,Organic chicken stock carton 32oz,3.99,Canned Goods,images/chicken_stock.jpg
Vegetable Stock,Organic vegetable stock carton 32oz,3.99,Canned Goods,images/veg_stock.jpg
Instant Noodles,Spicy instant noodles pack,1.99,Grains,images/instant_noodles.jpg
Granulated Garlic,Granulated garlic jar 3oz,2.49,Spices,images/granulated_garlic.jpg
Chia Seeds,Organic chia seeds 12oz,6.99,Superfoods,images/chia_seeds.jpg
Quinoa,Organic white quinoa 1lb,5.99,Grains,images/quinoa.jpg
Coconut Oil,Organic virgin coconut oil jar 14oz,7.99,Oils,images/coconut_oil.jpg
Dark Chocolate,70% cocoa dark chocolate bar 3.5oz,3.49,Sweets,images/dark_chocolate.jpg
Ginger Root,Fresh ginger root,1.99,Vegetables,images/ginger_root.jpg
Lemon,Fresh yellow lemons,3.29,Fruits,images/lemon.jpg
